Date,Open,High,Low,Close,Adj Close,Volume
2021-11-08,5925.000000,6000.000000,5900.000000,5925.000000,5134.514160,23177300
2021-11-09,5900.000000,5950.000000,5850.000000,5850.000000,5069.520020,41112200
2021-11-10,5925.000000,6250.000000,5875.000000,6175.000000,5351.160156,104312600
2021-11-11,6200.000000,6250.000000,6150.000000,6175.000000,5351.160156,51111700
2021-11-12,6200.000000,6225.000000,6075.000000,6150.000000,5329.495117,26920800
2021-11-15,6150.000000,6175.000000,6050.000000,6125.000000,5307.831055,22148900
2021-11-16,6125.000000,6250.000000,6100.000000,6175.000000,5351.160156,42681000
2021-11-17,6225.000000,6250.000000,6175.000000,6250.000000,5416.154297,49120900
2021-11-18,6250.000000,6250.000000,6175.000000,6200.000000,5372.824707,29629900
2021-11-19,6225.000000,6250.000000,6200.000000,6225.000000,5394.489258,37505200
2021-11-22,6250.000000,6375.000000,6125.000000,6200.000000,5372.824707,62612600
2021-11-23,6250.000000,6300.000000,6175.000000,6250.000000,5416.154297,31557400
2021-11-24,6275.000000,6275.000000,6200.000000,6225.000000,5394.489258,25645300
2021-11-25,6250.000000,6300.000000,6175.000000,6225.000000,5394.489258,32763500
2021-11-26,6200.000000,6225.000000,5875.000000,5900.000000,5112.849121,93634100
2021-11-29,5900.000000,6000.000000,5750.000000,5975.000000,5177.843262,87367400
2021-11-30,5950.000000,5975.000000,5750.000000,5775.000000,5004.526367,97592700
2021-12-01,5825.000000,5850.000000,5625.000000,5650.000000,4896.203125,102412800
2021-12-02,5650.000000,5875.000000,5600.000000,5850.000000,5069.520020,48422300
2021-12-03,5900.000000,5925.000000,5725.000000,5750.000000,4982.861328,31882900
2021-12-06,5750.000000,5800.000000,5650.000000,5650.000000,4896.203125,53112400
2021-12-07,5700.000000,5925.000000,5700.000000,5925.000000,5134.514160,39679500
2021-12-08,5925.000000,5950.000000,5775.000000,5800.000000,5026.190918,44189500
2021-12-09,5900.000000,6000.000000,5800.000000,6000.000000,5199.507813,35386900
2021-12-10,5950.000000,5950.000000,5800.000000,5925.000000,5134.514160,55629400
2021-12-13,5925.000000,5975.000000,5875.000000,5900.000000,5112.849121,30655800
2021-12-14,5925.000000,5925.000000,5850.000000,5875.000000,5091.184570,17233700
2021-12-15,5900.000000,6050.000000,5875.000000,6000.000000,5199.507813,51113700
2021-12-16,6025.000000,6050.000000,5800.000000,5800.000000,5026.190918,56929600
2021-12-17,5800.000000,5825.000000,5725.000000,5800.000000,5026.190918,55854900
2021-12-20,5750.000000,5775.000000,5675.000000,5675.000000,4917.867676,26290000
2021-12-21,5675.000000,5750.000000,5650.000000,5650.000000,4896.203125,29127800
2021-12-22,5700.000000,5775.000000,5625.000000,5625.000000,4874.538574,33727100
2021-12-23,5650.000000,5750.000000,5625.000000,5725.000000,4961.197266,21744100
2021-12-24,5725.000000,5750.000000,5650.000000,5675.000000,4917.867676,16203800
2021-12-27,5725.000000,5750.000000,5650.000000,5675.000000,4917.867676,20426700
2021-12-28,5675.000000,5750.000000,5650.000000,5725.000000,4961.197266,21833300
2021-12-29,5750.000000,5775.000000,5675.000000,5750.000000,4982.861328,14260000
2021-12-30,5775.000000,5775.000000,5700.000000,5700.000000,4939.532227,17144000
2022-01-03,5675.000000,5750.000000,5625.000000,5725.000000,4961.197266,27052300
2022-01-04,5750.000000,5875.000000,5725.000000,5775.000000,5004.526367,29770700
2022-01-05,5725.000000,5775.000000,5550.000000,5575.000000,4831.209473,50423900
2022-01-06,5600.000000,5675.000000,5575.000000,5675.000000,4917.867676,32155800
2022-01-07,5725.000000,5750.000000,5650.000000,5700.000000,4939.532227,25014800
2022-01-10,5675.000000,5725.000000,5650.000000,5650.000000,4896.203125,15379400
2022-01-11,5700.000000,5700.000000,5650.000000,5700.000000,4939.532227,21800300
2022-01-12,5725.000000,5725.000000,5650.000000,5725.000000,4961.197266,21283700
2022-01-13,5725.000000,5775.000000,5675.000000,5775.000000,5004.526367,18618100
2022-01-14,5775.000000,5800.000000,5700.000000,5725.000000,4961.197266,17719100
2022-01-17,5775.000000,5775.000000,5650.000000,5675.000000,4917.867676,15859100
2022-01-18,5675.000000,5725.000000,5575.000000,5650.000000,4896.203125,28165300
2022-01-19,5650.000000,5675.000000,5575.000000,5600.000000,4852.874023,38051800
2022-01-20,5600.000000,5625.000000,5500.000000,5525.000000,4787.879883,46564600
2022-01-21,5525.000000,5625.000000,5500.000000,5600.000000,4852.874023,40709600
2022-01-24,5600.000000,5625.000000,5525.000000,5525.000000,4787.879883,27127800
2022-01-25,5500.000000,5500.000000,5375.000000,5450.000000,4722.886230,56709200
2022-01-26,5500.000000,5500.000000,5425.000000,5450.000000,4722.886230,27985700
2022-01-27,5425.000000,5525.000000,5400.000000,5475.000000,4744.550781,34574800
2022-01-28,5475.000000,5525.000000,5450.000000,5475.000000,4744.550781,27378500
2022-01-31,5475.000000,5550.000000,5450.000000,5475.000000,4744.550781,32006300
2022-02-02,5500.000000,5525.000000,5425.000000,5500.000000,4766.215332,33450400
2022-02-03,5500.000000,5550.000000,5450.000000,5500.000000,4766.215332,38565600
2022-02-04,5525.000000,5525.000000,5475.000000,5500.000000,4766.215332,16052500
2022-02-07,5500.000000,5525.000000,5450.000000,5475.000000,4744.550781,46685400
2022-02-08,5525.000000,5700.000000,5500.000000,5550.000000,4809.544434,95691000
2022-02-09,5550.000000,5650.000000,5475.000000,5550.000000,4809.544434,80244900
2022-02-10,5575.000000,5625.000000,5450.000000,5450.000000,4722.886230,93265400
2022-02-11,5450.000000,5475.000000,5400.000000,5450.000000,4722.886230,36376700
2022-02-14,5400.000000,5425.000000,5250.000000,5300.000000,4592.898438,74307400
2022-02-15,5300.000000,5525.000000,5300.000000,5500.000000,4766.215332,77964800
2022-02-16,5550.000000,5600.000000,5475.000000,5475.000000,4744.550781,46730000
2022-02-17,5500.000000,5525.000000,5425.000000,5475.000000,4744.550781,47572000
2022-02-18,5450.000000,5625.000000,5425.000000,5600.000000,4852.874023,53981400
2022-02-21,5625.000000,5650.000000,5550.000000,5575.000000,4831.209473,27509200
2022-02-22,5525.000000,5575.000000,5450.000000,5575.000000,4831.209473,49233600
2022-02-23,5575.000000,5650.000000,5525.000000,5650.000000,4896.203125,44299100
2022-02-24,5625.000000,5775.000000,5525.000000,5700.000000,4939.532227,76492000
2022-02-25,5700.000000,5800.000000,5650.000000,5800.000000,5026.190918,97598000
2022-03-01,5800.000000,5950.000000,5700.000000,5700.000000,4939.532227,101227600
2022-03-02,5650.000000,5700.000000,5500.000000,5525.000000,4787.879883,80565600
2022-03-04,5575.000000,5675.000000,5525.000000,5625.000000,4874.538574,50348400
2022-03-07,5600.000000,5825.000000,5550.000000,5800.000000,5026.190918,59978000
2022-03-08,6000.000000,6550.000000,5975.000000,6250.000000,5416.154297,256655000
2022-03-09,6500.000000,6500.000000,6225.000000,6300.000000,5459.482910,107853200
2022-03-10,6300.000000,6300.000000,6150.000000,6250.000000,5416.154297,56584100
2022-03-11,6175.000000,6300.000000,6125.000000,6275.000000,5437.818359,32940500
2022-03-14,6350.000000,6425.000000,6300.000000,6375.000000,5524.477051,61811900
2022-03-15,6425.000000,6450.000000,6275.000000,6300.000000,5459.482910,57193600
2022-03-16,6325.000000,6400.000000,6300.000000,6400.000000,5546.142090,55776300
2022-03-17,6400.000000,6475.000000,6350.000000,6425.000000,5567.805664,53844700
2022-03-18,6450.000000,6450.000000,6325.000000,6400.000000,5546.142090,69493500
